id,name,signature
Q23,George Washington,George Washington signature.svg
Q207,George W. Bush,GeorgeWBush Signature.png
Q326,Eduardo Frei Ruiz-Tagle,Firma Frei Ruiz-Tagle.png
Q368,Augusto Pinochet,Signature of Augusto Pinochet.svg
Q475,Eduardo Frei Montalva,Firma Frei Montalva.svg
Q501,Charles Baudelaire,Baudelaire signatur .svg
Q815,Gabriel Gonzáles Videla,Firma G. Gonzalez Videla.jpg
Q873,Meryl Streep,Meryl Streep Signature.svg
Q905,Franz Kafka,Franz Kafka's signature.svg
Q909,Jorge Luis Borges.,Jorge Luis Borges firma.svg
Q926,Roald Amundsen,Roald Amundsen signature.jpg
Q937,Albert Einstein,Albert Einstein signature 1934.svg
Q946,Donald Tusk,Donald Tusk - signature.PNG
Q1058,Narendra Modi,Signature of Narendra Modi (Hindi).svg
Q1124,Bill Clinton,Bill Clinton signature2.png
Q1149,Indira Gandhi,Indira-Gandhi-Signature-Transparent.png
Q1228,Oscar Luigi Scalfaro,Signature of Oscar Luigi Scalfaro.png
Q1253,Ban Ki-moon,Ban Ki Moon Signature.svg
Q1254,Kofi Annan,Kofi Annan signature.svg
Q1257,Boutros Boutros-Ghali,Signature of Boutros Boutros-Ghali.svg
Q1320,Jorge Montt,Firma Jorge Montt.png
Q1339,Johann Sebastian Bach,Johann Sebastian Bach signature.svg
Q1463,Ferdinand Marcos,Marcos Sig.svg
Q1464,Benigno Aquino III,Nonoy Aquino Signature.svg
Q1500,José Rizal,Jose rizal signature.svg
Q1503,Manuel Quezon,Manuel Quezon Signature.svg
Q1511,Richard Wagner,Richard Wagner Signature.svg
Q2105,Jacques Chirac,Jacques Chirac Signature.svg
Q2492,Konrad Adenauer,Konrad Adenauer signature transparent.png
Q2494,Benedict XVI,Pope Benedict XVI Signature.svg
Q2496,Ludwig Erhard,Ludwig Erhard signature.JPG
Q2518,Helmut Kohl,Helmut Kohl Signature.svg
Q2538,Joachim Gauck,Joachim Gaucks signature.svg
Q2573,Gustav Heinemann,Signatur Gustav Heinemann.jpg
Q2667,Paul von Hindenburg,Paul von Hindenburg signature.svg
Q2677,Wilhelm II,"Wilhelm II, German Emperor Signature-.svg"
Q3271,Todd Russell Platts,Todd Platts-signature.svg
Q4029,Tara Strong,Tara Strong signature.svg
Q4496,Mitt Romney,Mitt Romney Signature.svg
Q4985,Herman Melville,Herman Melville signature.svg
Q5383,David Bowie,David Bowie signature.svg
Q5586,Katsushika Hokusai,Signature of Katsushika Hokusai.png
Q5673,Hans Christian Andersen,Hans Christian Andersen Signature.svg
Q5816,Mao Zedong,Mao Zedong signature.svg
Q6279,Joe Biden,Joe Biden signature.svg
Q6512,Søren Kierkegaard,Kierkegaard sig.png
Q6527,Jean-Jacques Rousseau,Jean-Jacques Rousseau Signature.svg
Q6733,Edward Teller,Edward Teller signature.svg
Q7197,Simone de Beauvoir,Simone de Beauvoir (signature).jpg
Q7243,Leo Tolstoy,Leo Tolstoy signature.svg
Q7317,Giuseppe Verdi,Giuseppe Verdi signature.svg
Q7321,Jacques Cartier,Jacques Cartier Signature.svg
Q7546,Ingmar Bergman,Ingmar Bergman Signature.png
Q7728,Grazia Deledda,Grazia Deledda signature.jpg
Q7810,Homer Simpson,Homer Simpson signature.svg
Q8016,Winston Churchill,Winston Churchill signature.svg
Q8479,Peter the Great,Peter the Great Signature.svg
Q8814,Augustin Louis Cauchy,Signature d'Augustin Louis Cauchy.svg
Q9353,John Locke,John Locke Signature.svg
Q9440,Paolo Veronese,Veronese autograph.png
Q9513,A. P. J. Abdul Kalam,Abdul kalam autograph.jpg
Q9535,Shah Rukh Khan,ShahRukh Khan Sgnature transparent.png
Q9554,Martin Luther,Martin Luther Signature.svg
Q9575,Harivansh Rai Bachchan,HarivanshRaiBachchan Autograph Hindi&Urdu.jpg
Q9588,Richard Nixon,Richard Nixon Signature.svg
Q9671,Michael Schumacher,Michael Schumacher Signature.svg
Q10873,Leo von Caprivi,Caprivi Signature.svg
Q11607,"Jon Huntsman, Jr.",Jon M Huntsman Jr Signature.svg
Q11674,David Paterson,David A Paterson Signature.jpg
Q11675,Eliot Spitzer,Eliot Spitzer Signature.svg
Q11812,Thomas Jefferson,ThomasJeffersonSignature.png
Q11815,James Monroe,James Monroe Signature.png
Q11820,Martin Van Buren,Martin Van Buren Signature.png
Q11860,Silvio Berlusconi,Silvio Berlusconi Signature.svg
Q11881,John Tyler,John Tyler Signature.svg
Q11891,James K. Polk,James Polk Signature.png
Q12325,James Buchanan,James Buchanan Signature.png
Q12860,Ferdinand II of Aragon,Fernando firma.jpg
Q14277,William Herschel,William Herschel Signature.svg
Q15189,Paul I of Russia,Paul I signature.svg
Q16381,Virchand Gandhi,Virchand Gandhi Sign.svg
Q16455,John Rhys-Davies,JohnRhysDavies.png
Q16867,Edgar Allan Poe,Edgar Allan Poe Signature.svg
Q17135,Soong May-ling,May-ling Soong Chiang Signature.svg
Q19837,Steve Jobs,Steve Jobs signature.svg
Q19943,Juan Carlos I,Juan Carlos I of Spain Signature.svg
Q20882,Gustave Eiffel,Gustave Eiffel signature.svg
Q22290,Olympia Snowe,Olympia Snowe Signature.svg
Q23358,Stanley Bruce,Bruce Signature.svg
Q23685,Jimmy Carter,JimmyCarterSignature commons.png
Q24015,Steve Bullock,Bullock sig.png
Q24829,Orson Welles,Orson Welles signature.svg
Q25973,Hermann Hesse,Hesse Signature.svg
Q26876,Taylor Swift,Taylor Swift logo.svg
Q26879,Melvil Dewey,Melvil Dewey Signature.svg
Q27913,Friedrich Paulsen,Paulsen.signatur.1909.jpg
Q28085,Adolf Eichmann,Adolf Eichmann (signature).svg
Q29050,Mohammad Hatta,Mohammad Hatta signature.svg
Q30449,Avril Lavigne,Avril Lavigne's signature.png
Q30487,Mikhail Gorbachev,Mikhail Gorbachev Signature.svg
Q32024,Sergey Shoygu,"Sergey Shoygu, signature.svg"
Q33391,Leon Trotsky,Leon Trotsky Signature.svg
Q33760,Bertrand Russell,Bertrand Russell signature.svg
Q33866,Theodore Roosevelt,Theodore Roosevelt Signature-2.svg
Q33977,Jules Verne,Firma de Julio Verne.svg
Q34286,Alexander Graham Bell,Alexander Graham Bell (signature).svg
Q34448,Mahmoud Ahmadinejad,Mahmoud Ahmadinejad signature.svg
Q34670,Albert Camus,Albert Camus Signature.jpg
Q34969,Benjamin Franklin,Benjamin Franklin Signature.svg
Q35171,Grover Cleveland,GroverCleveland Signature.png
Q35678,Benjamin Harrison,Benjamin Harrison Signature-2.svg
Q36174,Charles II of Spain,Firma del Rey Carlos II.svg
Q36215,Mark Zuckerberg,Mark Zuckerberg (signature).jpg
Q36661,Henrik Ibsen,Henrik Ibsen's signature.png
Q36760,David IV of Georgia,David IV signature.svg
Q37064,Alexander Fleming,Alexander Fleming signature.svg
Q37103,Florence Nightingale,Florence Nightingale Signature.svg
Q37193,Robert Koch,Robert Koch signature.svg
Q37615,Luciano Pavarotti,Luciano Pavarotti Signature.svg
Q38203,Helen Keller,Helen keller signature.svg
Q38573,Walter Jens,"Walter Jens, Signatur in Zur Antike (1978).jpg"
Q39168,"Harold Alexander, 1st Earl Alexander of Tunis","Harold Alexander, 1st Earl Alexander of Tunis Signature.svg"
Q39212,John Steinbeck,John Steinbeck signature.svg
Q39593,Butch Otter,Butch Otter Signature.svg
Q39978,Nostradamus,Signature of Nostradamus.jpg
Q40599,Édouard Manet,"Manet, Edouard 05 1832-1883 Signature.jpg"
Q40649,Cristina Fernández de Kirchner,CF SIGNATURE.svg
Q40722,Dilma Rousseff,Signature of Dilma Rousseff.svg
Q40933,Eva Perón,Firma de Evita.jpg
Q41284,John Dalton,John Dalton Signature c1827.svg
Q41406,Edvard Munch,"Edvard Munch, signature.svg"
